Secondary_School_Name,LSOA_CODE,Pupil_count
Haverstock School,E01000905,"75"
Haverstock School,E01000904,"58"
Haverstock School,E01000901,"57"
Haverstock School,E01000902,"40"
Haverstock School,E01000900,"36"
Haverstock School,E01000891,"29"
Haverstock School,E01000950,"24"
Haverstock School,E01000958,"24"
Haverstock School,E01000856,"22"
Haverstock School,E01000858,"22"
Haverstock School,E01000890,"21"
Haverstock School,E01000959,"19"
Haverstock School,E01000944,"18"
Haverstock School,E01000954,"18"
Haverstock School,E01000951,"16"
Haverstock School,E01000922,"16"
Haverstock School,E01000846,"15"
Haverstock School,E01000868,"15"
Haverstock School,E01000889,"15"
Haverstock School,E01000952,"15"
Haverstock School,E01000892,"14"
Haverstock School,E01000903,"14"
Haverstock School,E01000957,"11"
Haverstock School,E01000949,"11"
Haverstock School,E01000945,"11"
Haverstock School,E01000955,"10"
Haverstock School,E01000867,"10"
Haverstock School,E01000866,"10"
Haverstock School,E01000857,"10"
Haverstock School,E01000861,"9"
Haverstock School,E01000925,"9"
Haverstock School,E01000931,"9"
Haverstock School,E01000965,"8"
Haverstock School,E01000956,"8"
Haverstock School,E01000847,"8"
Haverstock School,E01000888,"7"
Haverstock School,E01000927,"7"
Haverstock School,E01000948,"7"
Haverstock School,E01000973,"7"
Haverstock School,E01000870,"6"
Haverstock School,E01000939,"6"
Haverstock School,E01000947,"6"
Haverstock School,E01000961,"6"
Haverstock School,E01000886,"5"
Haverstock School,E01000887,"5"
Haverstock School,E01000898,"5"
Haverstock School,E01000906,"5"
Haverstock School,E01000972,"5"
Haverstock School,E01002766,"5"
Haverstock School,E01000863,"4"
Haverstock School,E01000869,"4"
Haverstock School,E01000908,"4"
Haverstock School,E01000912,"4"
Haverstock School,E01000921,"4"
Haverstock School,E01000926,"4"
Haverstock School,E01000930,"4"
Haverstock School,E01000933,"4"
Haverstock School,E01000935,"4"
Haverstock School,E01000953,"4"
Haverstock School,E01000145,"3"
Haverstock School,E01000849,"3"
Haverstock School,E01000853,"3"
Haverstock School,E01000862,"3"
Haverstock School,E01000864,"3"
Haverstock School,E01000907,"3"
Haverstock School,E01000911,"3"
Haverstock School,E01000915,"3"
Haverstock School,E01000916,"3"
Haverstock School,E01000928,"3"
Haverstock School,E01000929,"3"
Haverstock School,E01000936,"3"
Haverstock School,E01000941,"3"
Haverstock School,E01000942,"3"
Haverstock School,E01000943,"3"
Haverstock School,E01000963,"3"
Haverstock School,E01000964,"3"
Haverstock School,E01000970,"3"
Haverstock School,E01000974,"3"
Parliament Hill School,E01000912,"31"
Parliament Hill School,E01000901,"25"
Parliament Hill School,E01000890,"24"
Parliament Hill School,E01000889,"21"
Parliament Hill School,E01000858,"20"
Parliament Hill School,E01000908,"20"
Parliament Hill School,E01000892,"18"
Parliament Hill School,E01000902,"17"
Parliament Hill School,E01000886,"16"
Parliament Hill School,E01000950,"15"
Parliament Hill School,E01000888,"14"
Parliament Hill School,E01000911,"13"
Parliament Hill School,E01000905,"13"
Parliament Hill School,E01000891,"13"
Parliament Hill School,E01000887,"13"
Parliament Hill School,E01000972,"12"
Parliament Hill School,E01000928,"12"
Parliament Hill School,E01002758,"11"
Parliament Hill School,E01000909,"11"
Parliament Hill School,E01002769,"11"
Parliament Hill School,E01000907,"11"
Parliament Hill School,E01000904,"11"
Parliament Hill School,E01000900,"11"
Parliament Hill School,E01000958,"10"
Parliament Hill School,E01002784,"10"
Parliament Hill School,E01000870,"10"
Parliament Hill School,E01002789,"10"
Parliament Hill School,E01002773,"9"
Parliament Hill School,E01002771,"9"
Parliament Hill School,E01000922,"9"
Parliament Hill School,E01000925,"9"
Parliament Hill School,E01000898,"8"
Parliament Hill School,E01000895,"8"
Parliament Hill School,E01002785,"8"
Parliament Hill School,E01002774,"8"
Parliament Hill School,E01000959,"8"
Parliament Hill School,E01000927,"8"
Parliament Hill School,E01000953,"7"
Parliament Hill School,E01000910,"7"
Parliament Hill School,E01002810,"7"
Parliament Hill School,E01002806,"6"
Parliament Hill School,E01002804,"6"
Parliament Hill School,E01000868,"6"
Parliament Hill School,E01002772,"6"
Parliament Hill School,E01002768,"6"
Parliament Hill School,E01000955,"6"
Parliament Hill School,E01000954,"6"
Parliament Hill School,E01000948,"6"
Parliament Hill School,E01002809,"6"
Parliament Hill School,E01002807,"5"
Parliament Hill School,E01002788,"5"
Parliament Hill School,E01002783,"5"
Parliament Hill School,E01002760,"5"
Parliament Hill School,E01002759,"5"
Parliament Hill School,E01000931,"5"
Parliament Hill School,E01000893,"5"
Parliament Hill School,E01000885,"5"
Parliament Hill School,E01000845,"5"
Parliament Hill School,E01000846,"4"
Parliament Hill School,E01000863,"4"
Parliament Hill School,E01000921,"4"
Parliament Hill School,E01000923,"4"
Parliament Hill School,E01000924,"4"
Parliament Hill School,E01000926,"4"
Parliament Hill School,E01000957,"4"
Parliament Hill School,E01000971,"4"
Parliament Hill School,E01000973,"4"
Parliament Hill School,E01002733,"4"
Parliament Hill School,E01002754,"4"
Parliament Hill School,E01002755,"4"
Parliament Hill School,E01002764,"4"
Parliament Hill School,E01002770,"4"
Parliament Hill School,E01000849,"3"
Parliament Hill School,E01000856,"3"
Parliament Hill School,E01000857,"3"
Parliament Hill School,E01000859,"3"
Parliament Hill School,E01000866,"3"
Parliament Hill School,E01000879,"3"
Parliament Hill School,E01000903,"3"
Parliament Hill School,E01000930,"3"
Parliament Hill School,E01000944,"3"
Parliament Hill School,E01000951,"3"
Parliament Hill School,E01000961,"3"
Parliament Hill School,E01002008,"3"
Parliament Hill School,E01002009,"3"
Parliament Hill School,E01002010,"3"
Parliament Hill School,E01002062,"3"
Parliament Hill School,E01002732,"3"
Parliament Hill School,E01002753,"3"
Parliament Hill School,E01002765,"3"
Parliament Hill School,E01002766,"3"
Parliament Hill School,E01002778,"3"
Parliament Hill School,E01002808,"3"
Regent High School,E01000956,"52"
Regent High School,E01000952,"45"
Regent High School,E01000954,"44"
Regent High School,E01000953,"43"
Regent High School,E01000951,"28"
Regent High School,E01000958,"23"
Regent High School,E01000941,"23"
Regent High School,E01000959,"22"
Regent High School,E01000955,"21"
Regent High School,E01000950,"20"
Regent High School,E01000939,"19"
Regent High School,E01000944,"16"
Regent High School,E01000915,"15"
Regent High School,E01000917,"14"
Regent High School,E01000856,"13"
Regent High School,E01000901,"13"
Regent High School,E01000905,"12"
Regent High School,E01000949,"11"
Regent High School,E01000947,"11"
Regent High School,E01000916,"11"
Regent High School,E01000945,"10"
Regent High School,E01000936,"10"
Regent High School,E01000957,"8"
Regent High School,E01000940,"8"
Regent High School,E01000867,"8"
Regent High School,E01000942,"7"
Regent High School,E01000946,"6"
Regent High School,E01000931,"6"
Regent High School,E01000868,"6"
Regent High School,E01000858,"6"
Regent High School,E01000938,"5"
Regent High School,E01000937,"5"
Regent High School,E01000920,"5"
Regent High School,E01000918,"5"
Regent High School,E01000863,"5"
Regent High School,E01000861,"5"
Regent High School,E01000853,"5"
Regent High School,E01000904,"4"
Regent High School,E01000889,"4"
Regent High School,E01000850,"4"
Regent High School,E01033703,"3"
Regent High School,E01004718,"3"
Regent High School,E01004670,"3"
Regent High School,E01002765,"3"
Regent High School,E01002715,"3"
Regent High School,E01002709,"3"
Regent High School,E01000948,"3"
Regent High School,E01000914,"3"
Regent High School,E01000902,"3"
Regent High School,E01000890,"3"
Regent High School,E01000875,"3"
Regent High School,E01000869,"3"
Regent High School,E01000866,"3"
Regent High School,E01000845,"3"
Hampstead School,E01000876,"49"
Hampstead School,E01000143,"41"
Hampstead School,E01000553,"36"
Hampstead School,E01000875,"30"
Hampstead School,E01000223,"29"
Hampstead School,E01000141,"29"
Hampstead School,E01000554,"27"
Hampstead School,E01000561,"26"
Hampstead School,E01000872,"26"
Hampstead School,E01000137,"25"
Hampstead School,E01000556,"23"
Hampstead School,E01000931,"20"
Hampstead School,E01000503,"20"
Hampstead School,E01000138,"20"
Hampstead School,E01000871,"19"
Hampstead School,E01000974,"18"
Hampstead School,E01000499,"17"
Hampstead School,E01000497,"16"
Hampstead School,E01000504,"16"
Hampstead School,E01000142,"15"
Hampstead School,E01000221,"15"
Hampstead School,E01000501,"15"
Hampstead School,E01000505,"15"
Hampstead School,E01000222,"14"
Hampstead School,E01000973,"13"
Hampstead School,E01000557,"13"
Hampstead School,E01000224,"12"
Hampstead School,E01000968,"11"
Hampstead School,E01000929,"10"
Hampstead School,E01000933,"10"
Hampstead School,E01000640,"9"
Hampstead School,E01000507,"9"
Hampstead School,E01000970,"9"
Hampstead School,E01000932,"9"
Hampstead School,E01000972,"8"
Hampstead School,E01000935,"8"
Hampstead School,E01000641,"8"
Hampstead School,E01000637,"8"
Hampstead School,E01000555,"8"
Hampstead School,E01033464,"7"
Hampstead School,E01000971,"7"
Hampstead School,E01000558,"7"
Hampstead School,E01000139,"7"
Hampstead School,E01000512,"6"
Hampstead School,E01000490,"6"
Hampstead School,E01000140,"5"
Hampstead School,E01000502,"5"
Hampstead School,E01000524,"5"
Hampstead School,E01000527,"5"
Hampstead School,E01000545,"5"
Hampstead School,E01000639,"5"
Hampstead School,E01000874,"5"
Hampstead School,E01000877,"5"
Hampstead School,E01000965,"5"
Hampstead School,E01000488,"4"
Hampstead School,E01000511,"4"
Hampstead School,E01000546,"4"
Hampstead School,E01000548,"4"
Hampstead School,E01000638,"4"
Hampstead School,E01000642,"4"
Hampstead School,E01000643,"4"
Hampstead School,E01000644,"4"
Hampstead School,E01000930,"4"
Hampstead School,E01000953,"4"
Hampstead School,E01000964,"4"
Hampstead School,E01000969,"4"
Hampstead School,E01000484,"3"
Hampstead School,E01000491,"3"
Hampstead School,E01000494,"3"
Hampstead School,E01000508,"3"
Hampstead School,E01000509,"3"
Hampstead School,E01000522,"3"
Hampstead School,E01000526,"3"
Hampstead School,E01000550,"3"
Hampstead School,E01000560,"3"
Hampstead School,E01000878,"3"
Hampstead School,E01000880,"3"
Hampstead School,E01000881,"3"
Hampstead School,E01000885,"3"
Hampstead School,E01000890,"3"
Hampstead School,E01000960,"3"
Hampstead School,E01000961,"3"
Hampstead School,E01017852,"3"
Acland Burghley School,E01000907,"36"
Acland Burghley School,E01000921,"28"
Acland Burghley School,E01002769,"26"
Acland Burghley School,E01000925,"25"
Acland Burghley School,E01002786,"21"
Acland Burghley School,E01002784,"21"
Acland Burghley School,E01002768,"21"
Acland Burghley School,E01000911,"21"
Acland Burghley School,E01000908,"20"
Acland Burghley School,E01000928,"19"
Acland Burghley School,E01000912,"17"
Acland Burghley School,E01000923,"16"
Acland Burghley School,E01002774,"16"
Acland Burghley School,E01002785,"15"
Acland Burghley School,E01002771,"15"
Acland Burghley School,E01000926,"15"
Acland Burghley School,E01002789,"14"
Acland Burghley School,E01000924,"14"
Acland Burghley School,E01002788,"13"
Acland Burghley School,E01000889,"12"
Acland Burghley School,E01000910,"12"
Acland Burghley School,E01000922,"12"
Acland Burghley School,E01000890,"11"
Acland Burghley School,E01002764,"11"
Acland Burghley School,E01000869,"10"
Acland Burghley School,E01000901,"9"
Acland Burghley School,E01002783,"9"
Acland Burghley School,E01002809,"8"
Acland Burghley School,E01000866,"7"
Acland Burghley School,E01000870,"7"
Acland Burghley School,E01000905,"7"
Acland Burghley School,E01000909,"7"
Acland Burghley School,E01002772,"7"
Acland Burghley School,E01000892,"6"
Acland Burghley School,E01002760,"6"
Acland Burghley School,E01002787,"6"
Acland Burghley School,E01000858,"5"
Acland Burghley School,E01000876,"5"
Acland Burghley School,E01000888,"5"
Acland Burghley School,E01000891,"5"
